CARM1,SMARCC2
CARM1,SMARCC1
CARM1,SMARCE1
CARM1,SMARCD1
CARM1,SCYL1
SMARCC2,ARID1A
SMARCC2,SMARCA4
SMARCC2,ACTB
SMARCC2,SMARCB1
SMARCC2,CARM1
SMARCC2,SMARCC1
SMARCC2,SMARCE1
SMARCC2,SMARCD1
SMARCC2,SCYL1
SMARCC1,ARID1A
SMARCC1,SMARCA4
SMARCC1,ACTB
SMARCC1,SMARCB1
SMARCC1,CARM1
SMARCC1,SMARCC2
SMARCC1,SMARCE1
SMARCC1,SMARCD1
SMARCC1,SCYL1
SMARCE1,ARID1A
SMARCE1,SMARCA4
SMARCE1,ACTB
SMARCE1,SMARCB1
SMARCE1,CARM1
SMARCE1,SMARCC2
SMARCE1,SMARCC1
SMARCE1,SMARCD1
SMARCE1,SCYL1
SMARCD1,ARID1A
SMARCD1,SMARCA4
SMARCD1,ACTB
SMARCD1,SMARCB1
SMARCD1,CARM1
SMARCD1,SMARCC2
SMARCD1,SMARCC1
SMARCD1,SMARCE1
SMARCD1,SCYL1
SCYL1,ARID1A
SCYL1,SMARCA4
SCYL1,ACTB
SCYL1,SMARCB1
SCYL1,CARM1
SCYL1,SMARCC2
SCYL1,SMARCC1
SCYL1,SMARCE1
SCYL1,SMARCD1
NUP98,SEC13
NUP98,NUP107
NUP98,NUP160
NUP98,NUP43
NUP98,NUP37
NUP98,NUP133
NUP98,SEH1L
NUP98,NUP85
SEC13,NUP98
SEC13,NUP107
SEC13,NUP160
SEC13,NUP43
SEC13,NUP37
SEC13,NUP133
SEC13,SEH1L
SEC13,NUP85
NUP107,NUP98
NUP107,SEC13
NUP107,NUP160
NUP107,NUP43
NUP107,NUP37
NUP107,NUP133
NUP107,SEH1L
NUP107,NUP85
NUP160,NUP98
NUP160,SEC13
NUP160,NUP107
NUP160,NUP43
NUP160,NUP37
NUP160,NUP133
NUP160,SEH1L
NUP160,NUP85
NUP43,NUP98
NUP43,SEC13
NUP43,NUP107
NUP43,NUP160
NUP43,NUP37
NUP43,NUP133
NUP43,SEH1L
NUP43,NUP85
NUP37,NUP98
NUP37,SEC13
NUP37,NUP107
NUP37,NUP160
NUP37,NUP43
NUP37,NUP133
NUP37,SEH1L
NUP37,NUP85
NUP133,NUP98
NUP133,SEC13
NUP133,NUP107
NUP133,NUP160
NUP133,NUP43
NUP133,NUP37
NUP133,SEH1L
NUP133,NUP85
SEH1L,NUP98
SEH1L,SEC13
SEH1L,NUP107
SEH1L,NUP160
SEH1L,NUP43
SEH1L,NUP37
SEH1L,NUP133
SEH1L,NUP85
NUP85,NUP98
NUP85,SEC13
NUP85,NUP107
NUP85,NUP160
NUP85,NUP43
NUP85,NUP37
NUP85,NUP133
NUP85,SEH1L
FANCG,FANCA
FANCG,FANCC
FANCG,FANCF
FANCA,FANCG
